2025-03-10 01:28:05,949 INFO    StreamThr :19816 [internal.py:wandb_internal():86] W&B internal server running at pid: 19816, started at: 2025-03-10 01:28:05.948741
2025-03-10 01:28:05,955 DEBUG   HandlerThread:19816 [handler.py:handle_request():146] handle_request: status
2025-03-10 01:28:05,983 INFO    WriterThread:19816 [datastore.py:open_for_write():85] open: c:\Users\D. Sai Mani Kumar\Downloads\DL\da6401_assignment1\wandb\run-20250310_012805-bnikepv3\run-bnikepv3.wandb
2025-03-10 01:28:05,984 DEBUG   SenderThread:19816 [sender.py:send():382] send: header
2025-03-10 01:28:06,052 DEBUG   SenderThread:19816 [sender.py:send():382] send: run
2025-03-10 01:28:06,689 ERROR   SenderThread:19816 [internal_api.py:execute():373] 409 response executing GraphQL.
2025-03-10 01:28:06,690 ERROR   SenderThread:19816 [internal_api.py:execute():374] {"errors":[{"message":"run bnikepv3 was previously created and deleted; try a new run name","path":["upsertBucket"]}],"data":{"upsertBucket":null}}
2025-03-10 01:28:08,065 ERROR   SenderThread:19816 [internal_api.py:execute():373] 409 response executing GraphQL.
2025-03-10 01:28:08,067 ERROR   SenderThread:19816 [internal_api.py:execute():374] {"errors":[{"message":"run bnikepv3 was previously created and deleted; try a new run name","path":["upsertBucket"]}],"data":{"upsertBucket":null}}
2025-03-10 01:28:09,893 DEBUG   HandlerThread:19816 [handler.py:handle_request():146] handle_request: status_report
2025-03-10 01:28:10,523 ERROR   SenderThread:19816 [internal_api.py:execute():373] 409 response executing GraphQL.
2025-03-10 01:28:10,523 ERROR   SenderThread:19816 [internal_api.py:execute():374] {"errors":[{"message":"run bnikepv3 was previously created and deleted; try a new run name","path":["upsertBucket"]}],"data":{"upsertBucket":null}}
2025-03-10 01:28:10,523 INFO    SenderThread:19816 [retry.py:__call__():172] Retry attempt failed:
Traceback (most recent call last):
  File "c:\Users\D. Sai Mani Kumar\AppData\Local\Programs\Python\Python39\lib\site-packages\wandb\sdk\lib\retry.py", line 131, in __call__
    result = self._call_fn(*args, **kwargs)
  File "c:\Users\D. Sai Mani Kumar\AppData\Local\Programs\Python\Python39\lib\site-packages\wandb\sdk\internal\internal_api.py", line 369, in execute
    return self.client.execute(*args, **kwargs)  # type: ignore
  File "c:\Users\D. Sai Mani Kumar\AppData\Local\Programs\Python\Python39\lib\site-packages\wandb\vendor\gql-0.2.0\wandb_gql\client.py", line 52, in execute
    result = self._get_result(document, *args, **kwargs)
  File "c:\Users\D. Sai Mani Kumar\AppData\Local\Programs\Python\Python39\lib\site-packages\wandb\vendor\gql-0.2.0\wandb_gql\client.py", line 60, in _get_result
    return self.transport.execute(document, *args, **kwargs)
  File "c:\Users\D. Sai Mani Kumar\AppData\Local\Programs\Python\Python39\lib\site-packages\wandb\sdk\lib\gql_request.py", line 59, in execute
    request.raise_for_status()
  File "c:\Users\D. Sai Mani Kumar\AppData\Local\Programs\Python\Python39\lib\site-packages\requests\models.py", line 1021, in raise_for_status
    raise HTTPError(http_error_msg, response=self)
requests.exceptions.HTTPError: 409 Client Error: Conflict for url: https://api.wandb.ai/graphql
2025-03-10 01:28:11,119 DEBUG   HandlerThread:19816 [handler.py:handle_request():146] handle_request: keepalive
2025-03-10 01:28:14,943 DEBUG   HandlerThread:19816 [handler.py:handle_request():146] handle_request: status_report
2025-03-10 01:28:15,398 ERROR   SenderThread:19816 [internal_api.py:execute():373] 409 response executing GraphQL.
2025-03-10 01:28:15,398 ERROR   SenderThread:19816 [internal_api.py:execute():374] {"errors":[{"message":"run bnikepv3 was previously created and deleted; try a new run name","path":["upsertBucket"]}],"data":{"upsertBucket":null}}
2025-03-10 01:28:16,171 DEBUG   HandlerThread:19816 [handler.py:handle_request():146] handle_request: keepalive
2025-03-10 01:28:19,991 DEBUG   HandlerThread:19816 [handler.py:handle_request():146] handle_request: status_report
2025-03-10 01:28:21,219 DEBUG   HandlerThread:19816 [handler.py:handle_request():146] handle_request: keepalive
2025-03-10 01:28:24,413 ERROR   SenderThread:19816 [internal_api.py:execute():373] 409 response executing GraphQL.
2025-03-10 01:28:24,413 ERROR   SenderThread:19816 [internal_api.py:execute():374] {"errors":[{"message":"run bnikepv3 was previously created and deleted; try a new run name","path":["upsertBucket"]}],"data":{"upsertBucket":null}}
2025-03-10 01:28:25,029 DEBUG   HandlerThread:19816 [handler.py:handle_request():146] handle_request: status_report
2025-03-10 01:28:26,266 DEBUG   HandlerThread:19816 [handler.py:handle_request():146] handle_request: keepalive
2025-03-10 01:28:30,085 DEBUG   HandlerThread:19816 [handler.py:handle_request():146] handle_request: status_report
2025-03-10 01:28:31,319 DEBUG   HandlerThread:19816 [handler.py:handle_request():146] handle_request: keepalive
2025-03-10 01:28:35,141 DEBUG   HandlerThread:19816 [handler.py:handle_request():146] handle_request: status_report
